63	66	53.5
70	25	1
46	1	1
21	94	80.0
96	21	1
78	102	61.9
34	50	86.1
52	18	493.6
79	85	47.3
22	87	216.0
12	90	44.6
40	32	18.5
63	67	35.1
6	33	1
54	98	1
36	27	75.5
105	64	115.8
47	39	34.3
75	100	1
62	3	1
56	92	1
105	86	262.4
41	35	1
9	71	108.7
5	83	15.8
40	45	77.7
10	79	53.0
105	27	336.6
72	3	1
32	59	116.7
58	81	1
55	68	1
80	84	69.7
17	6	1
89	88	82.8
77	48	71.2
37	38	109.3
19	97	1
23	63	1
63	37	190.6
93	7	55.8
13	95	1
14	81	1
87	9	28.5
68	46	1
59	43	255.0
30	8	35.4
53	101	19.2
52	44	85.1
89	45	129.0
41	32	33.1
69	31	45.4
49	30	105.8
12	30	157.0
60	35	1
74	51	33.5
11	43	83.9
24	10	372.4
68	89	93.9
49	90	63.1
99	106	15.4
5	4	322.2
82	29	172.0
95	37	1
15	31	1
101	8	1
86	89	104.7
31	47	87.7
105	63	339.5
102	4	276.9
3	2	45.4
57	91	1
3	61	1
107	82	101.7
37	65	34.6
64	12	67.7
63	89	145.0
104	93	1
103	49	1
20	100	1
73	76	1
26	42	30.4
86	64	109.3
16	28	1
89	74	17.3
86	47	91.3
99	71	576.2
37	29	144.9
