18	34	1
22	7	1
21	31	1
35	4	1
28	27	1
48	34	1
25	41	1
30	21	1
25	40	1
56	23	14.6
49	21	1
36	48	1
31	14	1
1	42	1
54	56	1
23	27	33.5
40	31	1
25	5	1
27	18	1
25	50	1
47	23	56.2
34	26	119.1
55	12	83.5
32	9	1
3	56	1
3	24	1
28	36	1
45	11	1
10	23	110.0
2	15	1
15	13	1
26	29	1
28	45	1
10	44	60.8
3	51	1
37	20	1
17	18	1
37	30	105.0
27	13	1
49	40	1
17	13	1
3	28	1
43	32	1
20	46	1
15	33	1
20	11	1
9	1	1
52	21	1
25	6	1
32	37	1
23	16	1
32	49	1
45	43	96.5
8	20	1
13	34	1
23	38	1
19	23	117.5
32	22	1
23	56	14.2
7	2	1
32	52	1
46	31	1
14	3	1
15	18	1
25	45	1
11	2	1
7	11	1
53	4	1
39	9	1
3	36	1
