17	10	1
31	17	1
11	10	56.2
32	24	1
17	13	1
13	23	61.9
16	23	46.1
3	32	52.7
17	32	1
33	11	52.7
14	28	1
35	12	1
28	10	213.7
25	19	114.3
11	20	64.2
9	35	1
29	23	45.4
38	37	736.0
39	36	219.9
3	13	100.1
10	32	56.6
28	32	51.9
3	37	82.7
5	39	130.5
9	12	1
4	39	55.8
11	14	1
27	21	14.6
25	28	190.9
39	28	142.1
36	28	197.5
35	21	1
34	39	15.0
39	10	237.4
16	29	52.3
39	19	67.8
8	25	1
37	13	30.8
40	39	71.2
3	38	107.0
39	20	247.1
33	10	67.6
11	39	73.5
18	39	1
37	23	46.9
16	17	1
7	25	53.5
29	10	109.7
28	30	229.1
11	25	33.1
25	34	30.4
11	28	63.9
6	20	36.2
29	3	90.8
31	19	114.2
22	39	68.1
27	32	50.0
32	35	1
26	39	65.4
33	25	105.4
31	25	69.7
8	39	1
19	32	60.4
1	25	72.3
39	2	124.6
11	36	58.5
31	36	96.3
3	17	1
11	3	34.6
28	35	1
38	23	16.9
15	35	1
19	8	1
40	25	73.9
28	29	37.8
22	19	32.3
