79	28	1
39	33	1
6	63	1
83	81	1
86	68	1
76	20	1
89	43	1
9	52	1
89	59	1
1	25	1
8	71	1
33	3	1
12	53	1
35	46	1
33	61	1
13	21	1
40	30	1
89	1	1
11	45	1
33	15	1
78	58	1
32	83	1
28	94	1
76	26	1
37	78	1
81	32	1
28	74	1
48	1	1
14	24	1
29	17	1
86	65	1
28	87	1
39	16	1
81	85	1
88	48	1
48	58	1
75	70	1
86	66	1
33	40	1
39	28	1
28	77	1
79	58	1
79	7	1
5	47	1
89	60	1
31	82	1
76	19	1
92	54	1
11	56	1
78	33	1
33	37	1
86	69	1
39	84	1
89	81	1
81	42	1
83	58	1
1	88	1
10	62	1
93	44	1
28	72	1
86	64	1
39	4	1
29	50	1
36	57	1
4	39	1
2	22	1
72	73	1
14	23	1
94	79	1
38	55	1
59	89	1
76	27	1
29	18	1
29	51	1
89	80	1
89	39	1
1	31	1
91	67	1
90	41	1
85	34	1
11	49	1
