18	64	35.4
63	12	38.1
48	20	157.9
68	34	13.1
46	17	74.7
19	45	1
6	3	1
29	21	117.9
45	52	75.0
46	48	84.9
38	2	1
16	44	1
60	13	1
11	46	58.9
43	35	1
69	14	203.7
50	39	1
56	21	604.0
15	41	1
46	1	307.8
54	66	1
9	46	1
51	52	1
58	53	1
28	42	74.6
62	10	56.1
28	1	344.7
68	7	272.2
5	1	1
55	28	34.6
52	67	63.9
15	14	241.1
56	44	48.2
61	67	1
14	49	1
63	40	46.9
28	24	1
4	69	1
59	46	69.3
2	46	146.6
57	17	1
48	8	63.1
26	15	1
1	14	144.8
47	31	1
46	42	89.6
23	10	1
30	22	1
16	32	32.4
27	68	33.4
56	8	32.7
37	36	1
25	32	35.8
65	36	1
33	42	1
